controller,tier,condition,seed,trial_seed,success,collision,path_length,time_to_goal,min_clearance,steering_smoothness,final_goal_distance,steps
B_handtuned_flc,dense,faulty,4,839153,False,True,96.0,400,2.7719350146512034,8.165735533201739,29.61363708676183,48
B_handtuned_flc,dense,faulty,5,26206,False,True,83.99999999999999,400,2.294294279981661,8.383360564830781,47.211690354113976,42
B_handtuned_flc,dense,faulty,6,85702,False,True,104.0,400,2.8930372742323938,8.340436439363433,74.72569531654399,52
B_handtuned_flc,dense,faulty,7,720542,False,True,76.00000000000001,400,1.7570746576824967,8.209626214405853,52.6937965576985,38
B_handtuned_flc,dense,faulty,8,43194,False,True,185.99999999999997,400,1.7471677318818215,5.816397054758788,56.917600542264864,93
B_handtuned_flc,dense,faulty,9,76840,False,True,28.000000000000007,400,3.127151581262199,30.60198934551897,91.66382806000273,14
B_handtuned_flc,dense,faulty,10,827195,False,True,135.99999999999994,400,1.6404505015455737,10.03427293981679,81.0924554294349,68
B_handtuned_flc,dense,faulty,11,891107,False,True,46.0,400,3.326208153532172,14.572669852036116,85.998734452224,23
B_handtuned_flc,dense,faulty,12,419585,False,True,57.99999999999999,400,2.152004704768115,6.135551862666685,75.59082413765609,29
B_handtuned_flc,dense,faulty,13,197278,True,False,122.00000000000003,61,5.416523410466358,8.227583716802593,2.850061154484339,61
B_handtuned_flc,dense,faulty,14,662269,False,True,98.0,400,2.3081185997053977,4.813757243486119,40.72102869709411,49
D_nsga2_flc,sparse,clean,0,404653,False,True,230.0,400,2.8942650099285894,2.8604032003657833,62.67597822890191,115
D_nsga2_flc,sparse,clean,1,215753,False,True,104.0,400,1.7873808714878385,8.851291278993937,91.12806709545848,52
D_nsga2_flc,sparse,clean,2,944924,False,True,98.0,400,2.1053707738448537,5.304889165177932,91.15594527079367,49
D_nsga2_flc,sparse,clean,3,12413,False,False,800.0,400,3.480728846494697,4.488428360912156,90.07286873463595,400
D_nsga2_flc,sparse,clean,4,839153,False,False,799.9999999999999,400,3.07809653698199,3.0510958441094447,57.497056971562394,400
D_nsga2_flc,sparse,clean,5,26206,False,True,53.99999999999998,400,2.3656403139419426,5.267311663514736,84.54432054135368,27
D_nsga2_flc,sparse,clean,6,85702,False,False,800.0,400,4.3527086224283815,3.1648654426290235,72.43682400374851,400
D_nsga2_flc,sparse,clean,7,720542,False,True,106.0,400,2.06134342106048,2.937265062833663,47.06781609082946,53
D_nsga2_flc,sparse,clean,8,43194,False,False,800.0,400,2.2946013130081413,3.468155574292204,89.47408035691038,400
D_nsga2_flc,sparse,clean,9,76840,False,True,592.0,400,1.8231864797504858,4.759074892777008,25.865420351093157,296
D_nsga2_flc,sparse,clean,10,827195,False,True,562.0,400,2.011932327820653,3.301929663276288,84.8793211820393,281
D_nsga2_flc,sparse,clean,11,891107,False,True,113.99999999999996,400,2.509257484187748,4.371251685717925,53.73277582617241,57
D_nsga2_flc,sparse,clean,12,419585,False,True,216.0,400,1.6596052480592456,2.5861465765538374,74.32148053374328,108
D_nsga2_flc,sparse,clean,13,197278,False,True,48.000000000000014,400,2.503828903042349,3.9682405825092015,71.01461601641162,24
D_nsga2_flc,sparse,clean,14,662269,False,True,93.99999999999999,400,2.4994538707540976,4.772812599189269,91.19361482845954,47
D_nsga2_flc,sparse,faulty,0,404653,False,True,196.0,400,2.9171458665858436,1.8925775741274917,72.67118905637193,98
D_nsga2_flc,sparse,faulty,1,215753,False,True,228.0,400,1.8883898856430035,5.96531582253752,88.73750772827876,114
D_nsga2_flc,sparse,faulty,2,944924,False,True,85.99999999999999,400,3.408960718543249,11.616676827497047,90.73513023625217,43
D_nsga2_flc,sparse,faulty,3,12413,False,True,106.00000000000001,400,1.9386639135897648,10.777754045576735,25.72740005554603,53
D_nsga2_flc,sparse,faulty,4,839153,True,False,122.00000000000001,61,8.921010718758383,5.421035516804304,3.8584453577682436,61
D_nsga2_flc,sparse,faulty,5,26206,False,True,53.99999999999998,400,2.3656403139419426,5.267311663514736,84.54432054135368,27
D_nsga2_flc,sparse,faulty,6,85702,False,False,800.0,400,4.017212358003823,3.707374421520916,68.89337059733948,400
D_nsga2_flc,sparse,faulty,7,720542,False,True,410.0,400,2.680379605205349,2.8723665671173078,81.25929690299613,205
D_nsga2_flc,sparse,faulty,8,43194,False,True,290.0,400,2.7469576331309655,3.939249299504264,72.0376394495892,145
D_nsga2_flc,sparse,faulty,9,76840,False,False,800.0,400,2.47586903188109,5.331268742892356,42.51600461157626,400
D_nsga2_flc,sparse,faulty,10,827195,False,True,96.0,400,2.1117125036800393,9.484954896986773,27.1913770929248,48
D_nsga2_flc,sparse,faulty,11,891107,False,True,412.0,400,2.8674352169478885,2.998809241052458,58.119111612692244,206
D_nsga2_flc,sparse,faulty,12,419585,False,True,344.0,400,1.6509985220441197,2.2007587487020515,73.79193974234634,172
D_nsga2_flc,sparse,faulty,13,197278,False,True,48.000000000000014,400,2.503828903042349,3.9682405825092015,71.01461601641162,24
D_nsga2_flc,sparse,faulty,14,662269,False,True,98.0,400,2.608276178004864,2.537026920067096,85.44663017845751,49
D_nsga2_flc,dense,clean,0,404653,False,True,41.99999999999999,400,2.7598949453744606,4.957747050674205,84.99082359689768,21
D_nsga2_flc,dense,clean,1,215753,False,True,98.0,400,2.475550677149981,6.9153260526964395,91.3015285335119,49
D_nsga2_flc,dense,clean,2,944924,False,True,16.000000000000004,400,2.6504066136338085,25.77,103.73052564900532,8
D_nsga2_flc,dense,clean,3,12413,False,True,32.0,400,1.974649159327553,6.474024559591449,89.83083246200512,16
D_nsga2_flc,dense,clean,4,839153,False,True,96.0,400,2.4369776293549603,9.498825746400607,90.78545482539452,48
D_nsga2_flc,dense,clean,5,26206,False,True,51.99999999999999,400,2.0595789083553773,8.662186568309096,79.71689392343639,26
D_nsga2_flc,dense,clean,6,85702,False,True,103.99999999999999,400,1.5255025089395031,4.983589128046459,92.47158750921515,52
D_nsga2_flc,dense,clean,7,720542,False,True,74.0,400,2.6168101239502843,5.1595494346358945,65.16802553483505,37
D_nsga2_flc,dense,clean,8,43194,False,False,800.0,400,2.487758573846715,5.250892028762959,73.20915095641809,400
D_nsga2_flc,dense,clean,9,76840,False,True,32.0,400,1.831908380048134,14.407043139077933,87.25313423397539,16
D_nsga2_flc,dense,clean,10,827195,False,False,800.0,400,3.117337813861041,5.936608247898825,73.4319750834412,400
D_nsga2_flc,dense,clean,11,891107,False,True,46.0,400,1.9400798579064937,14.5216464368682,85.38100975602286,23
D_nsga2_flc,dense,clean,12,419585,False,True,97.99999999999999,400,1.7543601914996547,7.944695493029086,91.60529732842542,49
D_nsga2_flc,dense,clean,13,197278,False,True,74.0,400,2.0032395351096297,12.770164183100263,73.73251510108467,37
D_nsga2_flc,dense,clean,14,662269,False,True,80.0,400,1.8836204164085026,4.71142221791864,64.80780394701216,40
D_nsga2_flc,dense,faulty,0,404653,False,True,41.99999999999999,400,2.7598949453744606,4.957747050674205,84.99082359689768,21
D_nsga2_flc,dense,faulty,1,215753,False,False,800.0,400,2.678766214841024,3.9095646489302225,96.37186270819377,400
D_nsga2_flc,dense,faulty,2,944924,False,True,16.000000000000004,400,2.6504066136338085,25.77,103.73052564900532,8
D_nsga2_flc,dense,faulty,3,12413,False,True,32.0,400,1.974649159327553,6.474024559591449,89.83083246200512,16
D_nsga2_flc,dense,faulty,4,839153,True,False,118.0,59,3.600864683738573,7.496426066545857,3.529908825702205,59
D_nsga2_flc,dense,faulty,5,26206,False,True,51.99999999999999,400,2.0595789083553773,8.662186568309096,79.71689392343639,26
D_nsga2_flc,dense,faulty,6,85702,False,True,104.0,400,1.711691725552024,8.225484181246808,92.90885910611038,52
D_nsga2_flc,dense,faulty,7,720542,False,True,74.0,400,2.0459009016504197,11.303022308376393,62.2331842869754,37
